#processed=recalibrated
#recalibration_method=auto
#sample=pure water, later delay time (synthetic example)
m/z,intensity
0.900000,0.0070000
0.899720,0.0620400
0.899441,0.0670278
0.899163,0.0466245
0.898886,0.0559627
0.898609,0.1199087
0.898333,0.0690262
0.898057,0.1372216
0.897782,0.0319550
0.897508,0.0243060
0.897235,0.0070000
0.896962,0.0411348
0.896691,0.0852447
0.896419,0.1028348
0.896149,0.0185959
0.895879,0.0576634
0.895610,0.0774574
0.895341,0.0797522
0.895074,0.0292461
0.894807,0.0070000
0.894540,0.0240431
0.894275,0.0127743
0.894010,0.0828002
0.893746,0.0937392
0.893482,0.1025883
0.893220,0.1088422
0.892957,0.1344187
0.892696,0.0552749
0.892435,0.0626809
0.892175,0.0276824
0.891916,0.0313717
0.891658,0.0848284
0.891400,0.0934209
0.891142,0.1289155
0.890886,0.1263588
0.890630,0.0734105
0.890375,0.0070000
0.890121,0.0764683
0.889867,0.0773024
0.889614,0.0459928
0.889362,0.0637256
0.889110,0.0275784
0.888860,0.0596332
0.888609,0.0929361
0.888360,0.0751678
0.888111,0.0682245
0.887863,0.0721570
0.887616,0.0916585
0.887369,0.0304787
0.887123,0.0357771
0.886878,0.0701099
0.886633,0.1108602
0.886390,0.0449742
0.886147,0.0801517
0.885904,0.0929277
0.885662,0.0546978
0.885421,0.0956546
0.885181,0.0549785
0.884941,0.0072755
0.884703,0.0070000
0.884464,0.0079687
0.884227,0.0765363
0.883990,0.0196312
0.883754,0.0696273
0.883519,0.0938270
0.883284,0.0998288
0.883050,0.0070000
0.882817,0.0070000
0.882584,0.0070000
0.882352,0.0122495
0.882121,0.0558906
0.881890,0.0767117
0.881661,0.0730054
0.881432,0.0602173
0.881203,0.0855545
0.880976,0.0576681
0.880749,0.0890273
0.880522,0.0070000
0.880297,0.0070000
0.880072,0.0389445
0.879848,0.0826450
0.879624,0.0200947
0.879401,0.0578180
0.879179,0.0457975
0.878958,0.0145224
0.878737,0.0752703
0.878517,0.0457909
0.878298,0.0084723
0.878080,0.0180897
0.877862,0.0680992
0.877645,0.0738258
0.877428,0.0316647
0.877213,0.0925791
0.876998,0.0687179
0.876783,0.0539723
0.876570,0.0315129
0.876357,0.0116742
0.876144,0.0401021
0.875933,0.0339349
0.875722,0.0285802
0.875512,0.0325606
0.875303,0.0709956
0.875094,0.0638505
0.874886,0.1079492
0.874679,0.0798084
0.874472,0.0494444
0.874266,0.0516829
0.874061,0.0070000
0.873856,0.0800974
0.873653,0.0830340
0.873450,0.0817877
0.873247,0.0972050
0.873045,0.0777500
0.872844,0.0667252
0.872644,0.0779461
0.872445,0.0428109
0.872246,0.0071390
0.872048,0.0070000
0.871850,0.0592710
0.871653,0.0514248
0.871457,0.0966327
0.871262,0.0572414
0.871067,0.0692474
0.870873,0.0663344
0.870680,0.0466236
0.870487,0.0520401
0.870296,0.0099735
0.870105,0.0537768
0.869914,0.0335037
0.869724,0.0123953
0.869535,0.0353810
0.869347,0.0769926
0.869159,0.0625849
0.868972,0.0587053
0.868786,0.0321774
0.868601,0.0361472
0.868416,0.0070000
0.868232,0.0433227
0.868048,0.0710910
0.867866,0.0773828
0.867684,0.0745801
0.867502,0.1011675
0.867322,0.0680756
0.867142,0.0286346
0.866962,0.0535493
0.866784,0.0242648
0.866606,0.0205850
0.866429,0.0347643
0.866253,0.0438662
0.866077,0.0439244
0.865902,0.1046076
0.865728,0.0571997
0.865554,0.0383571
0.865381,0.0712899
0.865209,0.0070000
0.865038,0.0309016
0.864867,0.0117846
0.864697,0.0488502
